,date,sum_deposit
517,2021-08-19,96526950425.0
518,2021-08-20,141272698999.0
519,2021-08-21,327317224775.0
520,2021-08-22,2105859183968.0
521,2021-08-23,2528828585960.0
522,2021-08-24,2639865590092.0
523,2021-08-25,2690852292689.0
524,2021-08-26,426475375777.0
525,2021-08-27,538530000930.0
526,2021-08-28,2816881008963.0
527,2021-08-29,3475770589291.0
528,2021-08-30,2544037642956.0
529,2021-08-31,2672081054547.0
530,2021-09-01,1589484875560.0
531,2021-09-02,337756423442.0
532,2021-09-03,396095814994.0
533,2021-09-04,1897815452090.0
534,2021-09-05,1809768441722.0
535,2021-09-06,3061178840382.0
536,2021-09-07,5381830311421.0
537,2021-09-08,5413719218453.0
538,2021-09-09,262002092854.0
539,2021-09-10,298827672976.0
540,2021-09-11,1691032425942.0
541,2021-09-12,2742327986473.0
542,2021-09-13,2316660693227.0
543,2021-09-14,3242206250011.0
544,2021-09-15,2017445440531.0
545,2021-09-16,206719775633.0
546,2021-09-17,213791723224.0
547,2021-09-18,3082867237688.0
548,2021-09-19,1085555738128.0
549,2021-09-20,1364006175272.0
550,2021-09-21,1132091334552.0
551,2021-09-22,1132118518371.0
552,2021-09-23,448627022651.0
553,2021-09-24,304676935992.0
554,2021-09-25,1341173847109.0
555,2021-09-26,1204338431313.0
556,2021-09-27,209732904562.0
557,2021-09-28,902104896431.0
558,2021-09-29,1067064623657.0
559,2021-09-30,181612533203.0
560,2021-10-01,223536039101.0
561,2021-10-02,1037098637796.0
562,2021-10-03,1217642509463.0
563,2021-10-04,1036384229920.0
564,2021-10-05,188993272129.0
565,2021-10-06,676617842597.0
566,2021-10-07,102258160904.0
567,2021-10-08,164105913172.0
568,2021-10-09,873884583406.0
569,2021-10-10,815576212257.0
570,2021-10-11,867094529936.0
571,2021-10-12,770669205066.0
572,2021-10-13,2661839541667.0
573,2021-10-14,195075321035.0
574,2021-10-15,209818893373.0
575,2021-10-16,922992704920.0
576,2021-10-17,860992043407.0
577,2021-10-18,899183334005.0
578,2021-10-19,993055530558.0
579,2021-10-20,668383691167.0
580,2021-10-21,144467948117.0
581,2021-10-22,159418973567.0
582,2021-10-23,931492338170.0
583,2021-10-24,161408967687.0
584,2021-10-25,1159141867369.0
585,2021-10-26,989131231586.0
586,2021-10-27,935847624579.0
587,2021-10-28,216069251611.0
588,2021-10-29,221348915523.0
589,2021-10-30,1093087506397.0
590,2021-10-31,867106396440.0
591,2021-11-01,976242448036.0
592,2021-11-02,1441344086895.0
593,2021-11-03,837453610627.0
594,2021-11-04,168090840168.0
595,2021-11-05,247503120427.0
596,2021-11-06,1288945572290.0
597,2021-11-07,1170303455970.0
598,2021-11-08,1367165240082.0
599,2021-11-09,1083036413114.0
600,2021-11-10,1008988075008.0
601,2021-11-11,153918911232.0
602,2021-11-12,180917065915.0
603,2021-11-13,835394631600.0
604,2021-11-14,1042482542121.0
605,2021-11-15,1766580672129.0
606,2021-11-16,902938418820.0
607,2021-11-17,1863415471398.0
608,2021-11-18,188993532332.0
609,2021-11-19,149648484606.0
610,2021-11-20,1586281496530.0
611,2021-11-21,1775248309411.0
612,2021-11-22,1019535332741.0
613,2021-11-23,1998375000956.0
614,2021-11-24,847170647612.0
615,2021-11-25,144636639910.0
616,2021-11-26,184019709501.0
617,2021-11-27,908726521718.0
618,2021-11-28,856341306362.0
619,2021-11-29,811696134497.0
620,2021-11-30,1081663045561.0
621,2021-12-01,999505100664.0
